request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_250,17404.9,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_251,1265.32,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_252,6656910.53,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Baseline forecast finds a later safe full-payment date.
request_253,1635.5,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-03-18,none,Baseline selected supplied installment option payment_option_729.
request_254,947.63,affordable_later,wait,2025-09-14:3535.2,2025-09-14,none,Baseline forecast finds a later safe full-payment date.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_256,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_257,772.13,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,Baseline forecast finds a later safe full-payment date.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_259,482.9,affordable_later,wait,2024-10-15:935,2024-10-15,none,Baseline forecast finds a later safe full-payment date.
request_260,10591746.09,affordable_with_plan,partial_payment,2025-02-06:10591746.09|2025-02-16:41487253.91,2025-02-16,none,Baseline splits the request across two safe payments.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_263,9167.54,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_264,32784.88,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Baseline forecast finds a later safe full-payment date.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Baseline selected supplied installment option payment_option_764.
request_267,1637.18,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-14,stop:event_24573,Apply stop:event_24573 to future recurring expenses; installments then keeps at least 1653.69 EUR (minimum 1500).
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Baseline selected supplied installment option payment_option_770.
request_269,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_270,226.3,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_271,52230.45,affordable_later,wait,2024-10-15:91300,2024-10-15,none,Baseline forecast finds a later safe full-payment date.
request_272,7063177.83,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,Baseline selected supplied installment option payment_option_780.
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-15:5104485.22,2026-04-15,none,Baseline splits the request across two safe payments.
request_274,2494.83,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-17,none,Baseline selected supplied installment option payment_option_785.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Baseline forecast keeps the balance above the minimum after full payment.
